id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
321739,RO-0021,small_airport,"Fazi Airstrip",46.347099,25.873769,2958,EU,Romania,RO,"Harghita County",RO-HR,HR,Leliceni,0,,,,,,LRLE,50,2021-03-18T21:44:47+00:00
430040,RO-0065,small_airport,"Letca Nouă Airfield",44.22531,25.75088,282,EU,Romania,RO,"Giurgiu County",RO-GR,GR,"Letca Nouă",0,,,,,,,50,2023-05-17T16:04:20+00:00
323671,RO-0027,small_airport,"Aerodromul Ciceu-Andras",46.3927664,25.7776699,,EU,Romania,RO,"Harghita County",RO-HR,HR,"Miercurea Ciuc",0,,,,,,,50,2017-06-08T02:59:55+00:00
354911,RO-0061,small_airport,"Mugeni Airfield",46.249281,25.222732,1475,EU,Romania,RO,"Harghita County",RO-HR,HR,Mugeni,0,,,,,,,50,2022-06-11T06:29:37+00:00
354826,RO-0053,small_airport,"Plopul Airstrip",45.00556,29.1,12,EU,Romania,RO,"Tulcea County",RO-TL,TL,Murighiol,0,,,,https://moa-avio.ro/aerodrom/,,,50,2022-06-07T07:08:54+00:00
348582,RO-0034,small_airport,"Odorhei Airfield",46.32548,25.28201,,EU,Romania,RO,"Harghita County",RO-HR,HR,"Odorheiu Secuiesc",0,,,,,,,50,2021-10-11T05:20:00+00:00
315897,RO-0011,small_airport,"Prejmer Aerodrome",45.697383,25.783453,1762,EU,Romania,RO,"Braşov County",RO-BV,BV,Prejmer,0,,,,http://www.aerodromprejmer.ro/,,,50,2023-11-07T10:10:14+00:00
354933,RO-0062,small_airport,"Aripi  Ramnicene Airstrip",45.380489,27.074475,335,EU,Romania,RO,"Buzău County",RO-BZ,BZ,"Ramnicu Sarat",0,,,,,,,50,2022-06-13T04:52:15+00:00
322519,RO-0024,small_airport,"Piatra Craiului Aerodrome",45.56553,25.396588,2198,EU,Romania,RO,"Braşov County",RO-BV,BV,Râșnov,0,,,,http://time2fly.ro,,,50,2021-03-12T15:30:12+00:00
507344,RO-0067,small_airport,Remetea,46.8188,25.40946,,EU,Romania,RO,"Harghita County",RO-HR,HR,Remetea,0,LRHR,,,,,,50,2023-07-19T07:48:20+00:00
354770,RO-0001,small_airport,"Zanesti Airfield",46.84667,26.55611,947,EU,Romania,RO,"Neamţ County",RO-NT,NT,Roznov,0,,,,,,,50,2022-06-04T06:36:13+00:00
315482,RO-0006,small_airport,"Sânpetru-Brașov Aerodrome",45.721036,25.633707,1716,EU,Romania,RO,"Braşov County",RO-BV,BV,Sânpetru,0,LRSP,,,,,"Aerodromul Sânpetru-Brașov",50,2021-03-12T15:26:58+00:00
315486,RO-0008,small_airport,"Aeroportul Sportiv Elie Carafoli",46.53441,24.534645,,EU,Romania,RO,"Mureş County",RO-MS,MS,"Târgu Mureș",0,LRMS,,,,,,50,2022-12-15T13:24:57+00:00
315986,LRPH,small_airport,"Şirna Airfield",44.783792,25.983205,,EU,Romania,RO,"Prahova County",RO-PH,PH,Tăriceni,0,LRPH,,,,,,50,2021-05-15T05:21:30+00:00
322817,RO-0025,small_airport,"Aerodromul Topoloveni",44.7966246,25.0896598,,EU,Romania,RO,"Argeş County",RO-AG,AG,Topoloveni,0,,,,,,,50,2017-04-22T15:15:02+00:00
354785,RO-0047,small_airport,"Fly Friends Airfield",44.491637,25.584884,415,EU,Romania,RO,"Giurgiu County",RO-GR,GR,"Vânătorii Mici",0,,,,,,"Fly Friends",50,2023-05-17T16:07:30+00:00
335080,RO-0029,heliport,"Unitatea Specială de Aviație București",44.504525,26.098452,,EU,Romania,RO,"Bucharest (municipality)",RO-B,B,,0,,,,,,,0,2020-07-11T00:46:37+00:00
354772,LRBK,heliport,"Moara Vlasiei Heliport",44.63278,26.1975,292,EU,Romania,RO,"Ilfov County",RO-IF,IF,,0,LRBK,,,,,,0,2022-06-04T08:10:34+00:00
320252,RO-0015,closed,"Siliștea Gumești Air Base",44.370911,24.983528,,EU,Romania,RO,"Teleorman County",RO-TR,TR,,0,,,,,,,0,2016-09-12T09:47:01+00:00
355028,RO-0063,heliport,"Râmnicu Vâlcea Heliport",45.05704,24.342635,,EU,Romania,RO,"Vâlcea County",RO-VL,VL,,0,,,,,,,0,2022-06-17T04:41:44+00:00
354944,LRFB,heliport,"Fagu Balc Heliport",47.3425,22.575,599,EU,Romania,RO,"Bihor County",RO-BH,BH,"Almasu Mare",0,LRFB,,,,,,0,2022-06-14T01:05:52+00:00
320684,RO-0018,heliport,"Cobrex Heliport",45.657735,25.55701,1778,EU,Romania,RO,"Braşov County",RO-BV,BV,Brașov,0,,,,http://cobrexhelicopters.ro,,,0,2021-03-12T15:29:04+00:00
342108,RO-0030,heliport,"Telecabina Heliport",45.5883,25.5508,3399,EU,Romania,RO,"Braşov County",RO-BV,BV,Brașov,0,,,,,,,0,2021-03-12T15:33:24+00:00
351105,RO-0042,closed,"Chilia Veche Aerodrome",45.41911,29.31393,6,EU,Romania,RO,"Tulcea County",RO-TL,TL,"Chilia Veche",0,,,,,,,0,2022-01-03T05:51:47+00:00
351099,RO-0036,heliport,"SMURD Heliport",44.141804,28.591412,194,EU,Romania,RO,"Constanţa County",RO-CT,CT,Constanța,0,,,,,,,0,2021-12-30T14:56:02+00:00
351100,RO-0037,heliport,"King Carol I Lighthouse Heliport",44.15982,28.65775,3,EU,Romania,RO,"Constanţa County",RO-CT,CT,Constanța,0,,,,,,,0,2021-12-30T14:57:49+00:00
351101,RO-0038,heliport,"Constanța Naval Heliport",44.15778,28.66116,3,EU,Romania,RO,"Constanţa County",RO-CT,CT,Constanța,0,,,,,,,0,2021-12-30T14:58:41+00:00
351102,RO-0039,heliport,"Mamaia Heliport",44.23659,28.62099,3,EU,Romania,RO,"Constanţa County",RO-CT,CT,Constanța,0,,,,,,,0,2021-12-30T15:00:40+00:00
354825,RO-0052,heliport,"Heliport Dogaru",47.05833,22.07806,,EU,Romania,RO,"Bihor County",RO-BH,BH,Fughiu,0,,,,http://www.flycompany.ro,,,0,2022-10-30T19:30:57+00:00
351107,RO-0043,heliport,"Damen Shipyard Heliport",45.44382,28.0831,23,EU,Romania,RO,"Galaţi County",RO-GL,GL,Galați,0,,,,,,,0,2021-12-30T15:12:41+00:00
324127,LRBG,heliport,"IAR Ghimbav Heliport",45.6873,25.527073,1762,EU,Romania,RO,"Braşov County",RO-BV,BV,Ghimbav,0,LRBG,,,,,"Mir Aero",0,2022-01-12T17:23:23+00:00
351103,RO-0040,heliport,"Năvodari Heliport",44.32903,28.65699,1,EU,Romania,RO,"Constanţa County",RO-CT,CT,Năvodari,0,,,,,,,0,2021-12-30T15:01:57+00:00
354769,LRCC,heliport,"Oituz Heliport",46.21056,26.60278,1094,EU,Romania,RO,"Bacău County",RO-BC,BC,Oituz,0,LRCC,,,,,,0,2022-06-04T06:33:20+00:00
351076,RO-0035,heliport,"Caragea Dermen Heliport",44.23193,28.58523,30,EU,Romania,RO,"Constanţa County",RO-CT,CT,Ovidiu,0,,,,,,,0,2021-12-30T11:04:14+00:00
320578,RO-0017,closed,"Aerodrom Cioca",45.786876,21.190265,,EU,Romania,RO,"Timiş County",RO-TM,TM,Timisoara,0,,,,,,,0,2021-06-05T06:13:04+00:00
